,news_media,positive,neutral,negative,compound,create_date,tweets_ago
64,BBC,0.0,1.0,0.0,0.0,2018-08-09 14:02:06+00:00,-64
65,BBC,0.138,0.862,0.0,0.4939,2018-08-09 13:01:04+00:00,-65
66,BBC,0.217,0.783,0.0,0.3612,2018-08-09 12:02:04+00:00,-66
67,BBC,0.0,1.0,0.0,0.0,2018-08-09 11:01:07+00:00,-67
68,BBC,0.153,0.847,0.0,0.5859,2018-08-09 10:21:23+00:00,-68
69,BBC,0.0,1.0,0.0,0.0,2018-08-09 09:50:32+00:00,-69
70,BBC,0.0,0.795,0.205,-0.4767,2018-08-09 09:19:37+00:00,-70
71,BBC,0.17,0.83,0.0,0.6696,2018-08-09 09:14:49+00:00,-71
72,BBC,0.0,1.0,0.0,0.0,2018-08-09 09:03:04+00:00,-72
73,BBC,0.0,0.645,0.355,-0.296,2018-08-09 08:01:04+00:00,-73
74,BBC,0.211,0.65,0.138,0.2023,2018-08-09 07:30:12+00:00,-74
75,BBC,0.0,1.0,0.0,0.0,2018-08-09 07:01:06+00:00,-75
76,BBC,0.0,1.0,0.0,0.0,2018-08-08 18:01:03+00:00,-76
77,BBC,0.0,1.0,0.0,0.0,2018-08-08 17:31:05+00:00,-77
78,BBC,0.242,0.758,0.0,0.5859,2018-08-08 16:04:07+00:00,-78
79,BBC,0.146,0.854,0.0,0.4404,2018-08-08 13:03:04+00:00,-79
80,BBC,0.0,1.0,0.0,0.0,2018-08-08 12:11:04+00:00,-80
81,BBC,0.0,1.0,0.0,0.0,2018-08-08 12:00:21+00:00,-81
82,BBC,0.373,0.627,0.0,0.8779,2018-08-08 11:21:04+00:00,-82
83,BBC,0.161,0.839,0.0,0.3612,2018-08-08 10:58:41+00:00,-83
84,BBC,0.0,0.867,0.133,-0.4118,2018-08-08 10:41:47+00:00,-84
85,BBC,0.0,1.0,0.0,0.0,2018-08-08 10:02:06+00:00,-85
86,BBC,0.343,0.657,0.0,0.8555,2018-08-08 09:44:56+00:00,-86
87,BBC,0.0,1.0,0.0,0.0,2018-08-08 09:38:23+00:00,-87
88,BBC,0.0,1.0,0.0,0.0,2018-08-08 09:37:13+00:00,-88
89,BBC,0.0,1.0,0.0,0.0,2018-08-08 09:04:34+00:00,-89
90,BBC,0.127,0.873,0.0,0.4404,2018-08-08 09:01:33+00:00,-90
91,BBC,0.0,1.0,0.0,0.0,2018-08-08 08:02:04+00:00,-91
92,BBC,0.099,0.901,0.0,0.2724,2018-08-08 07:27:05+00:00,-92
93,BBC,0.197,0.73,0.073,0.5267,2018-08-08 07:00:01+00:00,-93
94,BBC,0.0,1.0,0.0,0.0,2018-08-07 19:02:03+00:00,-94
95,BBC,0.146,0.639,0.215,-0.3612,2018-08-07 18:02:05+00:00,-95
96,BBC,0.0,1.0,0.0,0.0,2018-08-07 17:31:06+00:00,-96
97,BBC,0.0,1.0,0.0,0.0,2018-08-07 16:00:01+00:00,-97
98,BBC,0.0,1.0,0.0,0.0,2018-08-07 14:00:07+00:00,-98
99,BBC,0.091,0.909,0.0,0.2263,2018-08-07 13:01:06+00:00,-99
0,CBS,0.126,0.874,0.0,0.3182,2018-08-13 17:34:23+00:00,0
1,CBS,0.0,1.0,0.0,0.0,2018-08-12 23:30:02+00:00,-1
2,CBS,0.126,0.874,0.0,0.4389,2018-08-12 15:04:59+00:00,-2
3,CBS,0.0,0.897,0.103,-0.3182,2018-08-11 18:00:00+00:00,-3
4,CBS,0.144,0.856,0.0,0.4926,2018-08-11 15:00:02+00:00,-4
5,CBS,0.419,0.581,0.0,0.8957,2018-08-10 22:28:55+00:00,-5
6,CBS,0.0,1.0,0.0,0.0,2018-08-10 19:59:14+00:00,-6
7,CBS,0.255,0.745,0.0,0.6696,2018-08-09 21:00:00+00:00,-7
8,CBS,0.28,0.72,0.0,0.7901,2018-08-09 18:47:00+00:00,-8
9,CBS,0.209,0.791,0.0,0.6696,2018-08-08 16:05:11+00:00,-9
10,CBS,0.0,1.0,0.0,0.0,2018-08-07 16:06:57+00:00,-10
11,CBS,0.111,0.889,0.0,0.3612,2018-08-06 00:20:55+00:00,-11
12,CBS,0.219,0.683,0.098,0.5411,2018-08-06 00:07:38+00:00,-12
13,CBS,0.106,0.894,0.0,0.3818,2018-08-06 00:02:58+00:00,-13
14,CBS,0.155,0.845,0.0,0.5093,2018-08-06 00:02:02+00:00,-14
15,CBS,0.0,1.0,0.0,0.0,2018-08-05 23:58:41+00:00,-15
16,CBS,0.306,0.694,0.0,0.8316,2018-08-05 23:44:39+00:00,-16
17,CBS,0.0,1.0,0.0,0.0,2018-08-05 23:41:21+00:00,-17
18,CBS,0.157,0.843,0.0,0.5994,2018-08-05 23:35:49+00:00,-18
19,CBS,0.0,1.0,0.0,0.0,2018-08-05 23:35:46+00:00,-19
20,CBS,0.173,0.827,0.0,0.5826,2018-08-05 23:16:25+00:00,-20
21,CBS,0.0,0.798,0.202,-0.5093,2018-08-05 23:12:39+00:00,-21
22,CBS,0.0,1.0,0.0,0.0,2018-08-05 23:10:20+00:00,-22
23,CBS,0.225,0.775,0.0,0.6041,2018-08-05 23:05:58+00:00,-23
24,CBS,0.147,0.853,0.0,0.3802,2018-08-05 23:01:25+00:00,-24
25,CBS,0.0,0.917,0.083,-0.2057,2018-08-05 22:58:41+00:00,-25
26,CBS,0.0,1.0,0.0,0.0,2018-08-05 22:58:36+00:00,-26
27,CBS,0.0,0.936,0.064,-0.0572,2018-08-05 22:53:12+00:00,-27
28,CBS,0.059,0.82,0.121,-0.3612,2018-08-05 22:52:24+00:00,-28
29,CBS,0.138,0.862,0.0,0.4939,2018-08-05 22:49:06+00:00,-29
30,CBS,0.0,1.0,0.0,0.0,2018-08-05 22:46:49+00:00,-30
31,CBS,0.175,0.825,0.0,0.4926,2018-08-05 22:32:37+00:00,-31
32,CBS,0.123,0.877,0.0,0.2732,2018-08-05 22:32:30+00:00,-32
33,CBS,0.095,0.905,0.0,0.2716,2018-08-05 22:16:36+00:00,-33
34,CBS,0.0,0.867,0.133,-0.4973,2018-08-05 22:16:29+00:00,-34
35,CBS,0.0,1.0,0.0,0.0,2018-08-05 22:16:19+00:00,-35
36,CBS,0.0,0.886,0.114,-0.4019,2018-08-05 22:05:44+00:00,-36
37,CBS,0.0,0.793,0.207,-0.6908,2018-08-05 22:00:47+00:00,-37
38,CBS,0.0,1.0,0.0,0.0,2018-08-05 21:48:41+00:00,-38
39,CBS,0.286,0.714,0.0,0.8555,2018-08-05 21:48:36+00:00,-39
40,CBS,0.234,0.766,0.0,0.5994,2018-08-05 21:48:29+00:00,-40
41,CBS,0.208,0.792,0.0,0.6124,2018-08-05 21:31:15+00:00,-41
